system:index,month,ndvi_mean,ndwi_max,ndwi_mean,rainfall_mm,year,.geo
0,1.0,0.5533826867478319,0.5115661736822147,-0.45396583609786056,4.593608167279308,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.0,0.5136934634226774,0.4668101901686401,-0.4223584012493295,4.119710998673201,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.0,0.5358267372783626,0.3904761904761905,-0.4544524364049186,5.195833727196612,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.0,0.5374630737461683,0.29178571428571426,-0.44768683525512554,60.6466641041503,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.0,0.5121011332983753,0.1929140832595217,-0.42405129281478726,128.56276436657734,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.0,0.18661166115921324,0.09583333333333334,-0.17341367464980817,406.90448015165555,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.0,0.02021309129727969,0.08189043428895827,-0.03281617754689095,503.478952316184,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.0,0.04240943032902553,0.13745454545454547,-0.05211585077459223,1041.8887955037346,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.0,0.07777932902291555,0.24329004329004328,-0.08131390287843968,214.1224788191097,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10.0,0.29496702147313464,0.22377070733631343,-0.2502835597639104,295.375774993637,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11.0,0.5199787817293553,0.4437367303609342,-0.4132940007587432,70.22675338035602,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12.0,0.523943633620256,0.39206680584551146,-0.41841428115383283,45.643214161296015,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
