system:index,month,ndvi_mean,ndwi_max,ndwi_mean,rainfall_mm,year,.geo
0,1.0,0.3082108775288477,0.13453192808431494,-0.24841784831436287,31.719310081310866,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.0,0.34110408201127806,0.21541850220264316,-0.28841953614897026,3.626038691975629,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.0,0.3214418295300347,0.13952793546459516,-0.2723839713841534,2.7912594429934634,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.0,0.3320368403455492,0.10935165820137437,-0.2877797641818403,27.693036272671538,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.0,0.22033266107208999,0.07920442509120866,-0.1917746850209081,270.6419273828077,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.0,0.08024852812358578,0.032031934573069805,-0.0815030156233912,564.0578645702291,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.0,0.005210738952641391,0.023074423139421516,-0.01937759744356295,995.753997957755,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.0,0.030257828331387834,0.05026455026455026,-0.0397751764084525,688.1324280881059,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.0,0.0671888119512638,0.17242881254423695,-0.06929468924084806,138.6739205518036,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10.0,0.11404427386174333,0.17783066984019041,-0.10679864255584468,299.8550913200616,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11.0,0.2361905384307956,0.15431560592850915,-0.1959371412179614,41.628293457173726,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12.0,0.33986668014248783,0.16938751881440314,-0.2788502135892328,68.5731600011688,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
